Universitas,Jenis_Program_Studi,Kualitas_Dosen,Kepuasan_Infrastruktur,Keluhan_Fisik,Kendala_Online,Performa_Akademik,Keluhan_Psikis,Kepuasan_Online
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Sering Mengantuk,Tidak Ada Kendala / Tidak Ada Diatas,4,Bosan,3
Universitas Internasional Batam,Computing & Engineering,4,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,4
Politeknik Negeri Batam,Computing & Engineering,2,4,Badan Pegal,Tidak Ada Kendala / Tidak Ada Diatas,1,Patah Hati,1
Universitas Universal,Computing & Engineering,3,3,Kelelahan Mata,Kendala Internet,3,Bosan,3
Universitas Putera Batam,Computing & Engineering,1,1,Sering Mengantuk,Kendala Internet,4,Cemas,2
Universitas Internasional Batam,Computing & Engineering,3,4,Sakit Kepala,Kendala Listrik,3,Cemas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Kendala Internet,4,Cemas,4
Institut Teknologi Batam,Computing & Engineering,1,2,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,1,Bosan,1
Politeknik Negeri Batam,Computing & Engineering,4,4,Kelelahan Mata,Kendala Internet,4,Cemas,4
Universitas Universal,Non Computing & Non Engineering,3,1,Kelelahan Mata,Kendala Internet,1,Bosan,2
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Kendala Internet,4,Bosan,4
Universitas Internasional Batam,Computing & Engineering,4,5,Sering Mengantuk,Kendala Internet,3,Bosan,4
Universitas Internasional Batam,Computing & Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Politeknik Negeri Batam,Non Computing & Non Engineering,5,4,Tidak Enak Badan,Tidak Ada Kendala / Tidak Ada Diatas,4,Bosan,4
Universitas Putera Batam,Non Computing & Non Engineering,4,3,Kelelahan Mata,Kendala Internet,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Internasional Batam,Non Computing & Non Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Kendala Listrik,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Putera Batam,Non Computing & Non Engineering,4,3,Tidak Enak Badan,Kendala Internet,3,Cemas,5
Universitas Internasional Batam,Computing & Engineering,5,5,Tidak Ada Keluhan / Tidak Ada Diatas,Kendala Listrik,5,Tidak Ada Keluhan / Tidak Ada Diatas,5
Universitas Putera Batam,Computing & Engineering,5,5,Sulit Istirahat,Kendala Perangkat,3,Bosan,5
Universitas Internasional Batam,Computing & Engineering,4,4,Sulit Istirahat,Kendala Listrik,4,Cemas,5
Universitas Internasional Batam,Non Computing & Non Engineering,3,2,Kelelahan Mata,Kendala Internet,3,Bosan,4
Universitas Putera Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,5
Institut Teknologi Batam,Computing & Engineering,4,4,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Moody-an,4
Universitas Internasional Batam,Non Computing & Non Engineering,4,3,Kelelahan Mata,Kendala Internet,4,Bosan,3
Universitas Putera Batam,Non Computing & Non Engineering,4,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,4,Tidak Ada Keluhan / Tidak Ada Diatas,4
Universitas Putera Batam,Computing & Engineering,4,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,2,Kelelahan Mata,Kendala Internet,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,2,2,Sering Mengantuk,Kendala Internet,2,Bosan,2
Universitas Internasional Batam,Non Computing & Non Engineering,2,2,Sakit Kepala,Tidak Ada Kendala / Tidak Ada Diatas,2,Moody-an,2
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Kendala Internet,4,Bosan,4
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Badan Pegal,Kendala Internet,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,2,2,Sakit Kepala,Tidak Ada Kendala / Tidak Ada Diatas,2,Moody-an,2
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Kendala Internet,3,Bosan,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Kelelahan Mata,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
Universitas Internasional Batam,Non Computing & Non Engineering,3,3,Tidak Ada Keluhan / Tidak Ada Diatas,Tidak Ada Kendala / Tidak Ada Diatas,3,Tidak Ada Keluhan / Tidak Ada Diatas,3
